query_id,query,type
1,top universities in UK,Normal
2,universities in scotland,Normal
3,best engineering university UK,Normal
4,law schools in london,Normal
5,medical universities UK,Normal
6,oxford details,Short Query
7,cambridge info,Short Query
8,imperial college courses,Short Query
9,good research universities UK,Synonym
10,top ranked colleges UK,Synonym
11,schools for higher education UK,Synonym
12,where can I study medicine in UK,Paraphrased
13,which universities offer engineering programs,Paraphrased
14,universities good for business studies,Paraphrased
15,what are the best universities in england,Paraphrased
